Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
"Birla Institute of Technology, Mesra, Ranchi","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,13506,19099
"Birla Institute of Technology, Mesra, Ranchi","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,4912,5910
"Birla Institute of Technology, Mesra, Ranchi","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,2260,2547
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,13443,24848
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,Open (PwD),Gender-Neutral,1567,1567
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,5781,12349
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,6991,16532
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,10440,16716
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,Open (PwD),Gender-Neutral,353,1067
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3735,5792
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,779,2303
"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,13658,19481
"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",HS,Open (PwD),Gender-Neutral,2135,2135
"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,6226,8364
"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,5970,16002
"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,10422,11905
"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",OS,Open (PwD),Gender-Neutral,1072,1072
"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3172,5333
"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,3249,4175
"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,21308,34003
"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,6434,15342
"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,2284,16025
"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,14607,22761
"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3430,5890
"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,3037,3279
"Birla Institute of Technology, Mesra, Ranchi","Production Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,34504,53702
"Birla Institute of Technology, Mesra, Ranchi","Production Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,15737,21445
"Birla Institute of Technology, Mesra, Ranchi","Production Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,15194,18739
"Birla Institute of Technology, Mesra, Ranchi","Production Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,26765,38800
"Birla Institute of Technology, Mesra, Ranchi","Production Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,9890,10514
"Birla Institute of Technology, Mesra, Ranchi","Production Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,5029,5466
"Gurukula Kangri Vishwavidyalaya, Haridwar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,33883,48067
"Gurukula Kangri Vishwavidyalaya, Haridwar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,13767,17057
"Gurukula Kangri Vishwavidyalaya, Haridwar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,6228,10250
"Gurukula Kangri Vishwavidyalaya, Haridwar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,5895,6622
"Gurukula Kangri Vishwavidyalaya, Haridwar","Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,33400,57379
"Gurukula Kangri Vishwavidyalaya, Haridwar","Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,15837,18193
"Gurukula Kangri Vishwavidyalaya, Haridwar","Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,5535,11438
